#chr	start	end	strand	transcript	gene	AED	QI2
8	629637	630614	+	transcript:Zm00001d008182_T001	gene:Zm00001d008182	0.21	0.66
8	635223	636911	-	transcript:Zm00001d008184_T001	gene:Zm00001d008184	0.37	0.4
8	774348	784221	-	transcript:Zm00001d008190_T001	gene:Zm00001d008190	0.04	0.6
8	778254	779122	+	transcript:Zm00001d008191_T002	gene:Zm00001d008191	0.43	0.5
8	824494	829600	-	transcript:Zm00001d008193_T002	gene:Zm00001d008193	0.31	0.33
8	957005	966468	+	transcript:Zm00001d008198_T001	gene:Zm00001d008198	0.29	0.5
8	989823	991128	-	transcript:Zm00001d008201_T001	gene:Zm00001d008201	0.00	0.5
8	1108702	1109418	+	transcript:Zm00001d008206_T001	gene:Zm00001d008206	0.25	0.5
8	1296796	1297949	+	transcript:Zm00001d008210_T001	gene:Zm00001d008210	0.09	0.33
8	1296922	1297929	+	transcript:Zm00001d008210_T005	gene:Zm00001d008210	0.14	0.5
8	1355269	1358947	-	transcript:Zm00001d008212_T003	gene:Zm00001d008212	0.10	0.5
8	1460764	1465581	-	transcript:Zm00001d008215_T002	gene:Zm00001d008215	0.31	0.75
8	1585465	1591623	+	transcript:Zm00001d008218_T002	gene:Zm00001d008218	0.16	0.75
8	1585581	1591418	+	transcript:Zm00001d008218_T008	gene:Zm00001d008218	0.20	0.66
8	1665296	1668542	-	transcript:Zm00001d008224_T001	gene:Zm00001d008224	0.07	0.5
8	1665370	1669391	-	transcript:Zm00001d008224_T003	gene:Zm00001d008224	0.18	0.5
8	1665415	1669401	-	transcript:Zm00001d008224_T004	gene:Zm00001d008224	0.20	0.5
8	1785019	1794777	-	transcript:Zm00001d008225_T001	gene:Zm00001d008225	0.49	0.75
8	1785218	1794777	-	transcript:Zm00001d008225_T003	gene:Zm00001d008225	0.46	0.71
8	1785220	1794777	-	transcript:Zm00001d008225_T006	gene:Zm00001d008225	0.28	0.66
8	2198415	2206575	+	transcript:Zm00001d008236_T004	gene:Zm00001d008236	0.31	0.61
8	2198415	2206575	+	transcript:Zm00001d008236_T003	gene:Zm00001d008236	0.31	0.7
8	2198416	2206575	+	transcript:Zm00001d008236_T010	gene:Zm00001d008236	0.31	0.66
8	2204271	2206575	+	transcript:Zm00001d008236_T029	gene:Zm00001d008236	0.43	0.6
8	2073600	2080812	-	transcript:Zm00001d008234_T002	gene:Zm00001d008234	0.31	0.5
8	2073600	2080812	-	transcript:Zm00001d008234_T001	gene:Zm00001d008234	0.37	0.33
8	2424564	2438283	+	transcript:Zm00001d008242_T002	gene:Zm00001d008242	0.06	0.66
8	2562419	2568575	+	transcript:Zm00001d008248_T001	gene:Zm00001d008248	0.24	0.75
8	3417091	3420079	-	transcript:Zm00001d008264_T001	gene:Zm00001d008264	0.28	0.66
8	3417091	3420084	-	transcript:Zm00001d008264_T002	gene:Zm00001d008264	0.29	0.75
8	3695352	3701508	+	transcript:Zm00001d008274_T001	gene:Zm00001d008274	0.33	0.66
8	3994584	3996218	-	transcript:Zm00001d008284_T001	gene:Zm00001d008284	0.34	0.6
8	4076178	4080942	+	transcript:Zm00001d008285_T004	gene:Zm00001d008285	0.36	0.7
8	4113273	4114082	-	transcript:Zm00001d008286_T001	gene:Zm00001d008286	0.13	0.5
8	4310623	4314246	-	transcript:Zm00001d008293_T002	gene:Zm00001d008293	0.19	0.66
8	4310961	4314195	-	transcript:Zm00001d008293_T005	gene:Zm00001d008293	0.22	0.5
8	4311184	4314201	-	transcript:Zm00001d008293_T006	gene:Zm00001d008293	0.20	0.5
8	4374512	4380272	+	transcript:Zm00001d008294_T001	gene:Zm00001d008294	0.36	0.66
